,Lancôme,Sol de Janeiro,Charlotte Tilbury,Make Up By Mario,Rare Beauty,Hourglass,Make Up For Ever,Dior Beauty,Summer Fridays,tarte,Huda Beauty,Fenty Beauty,NARS,Clinique,Drunk Elephant,Too Faced,Glow Recipe,NYX,Bobbi Brown,Patrick Ta Beauty,YSL Beauty,Maybelline,Benefit Cosmetics,Natasha Denona,Anastasia Beverly Hills,MAC Cosmetics,Urban Decay,Shiseido,SEPHORA COLLECTION,Laneige,Chanel Beauty,Glossier,Paula's Choice,Olaplex,Kiehl's,Kosas,Morphe,Laura Mercier,Gucci Beauty,Tom Ford Beauty,Pat McGrath Labs,The Ordinary,La Mer,L'Oréal,Giorgio Armani Beauty,Milk Makeup,First Aid Beauty
Lancôme,0.0,2.0,11.0,3.0,6.0,6.0,1.0,5.0,2.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sol de Janeiro,2.0,0.0,7.0,4.0,7.0,2.0,0.0,4.0,0.0,3.0,5.0,6.0,2.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Charlotte Tilbury,11.0,7.0,0.0,40.0,39.0,31.0,9.0,31.0,9.0,14.0,35.0,31.0,21.0,2.0,14.0,16.0,11.0,4.0,8.0,14.0,10.0,7.0,18.0,10.0,15.0,11.0,10.0,7.0,5.0,8.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
Make Up By Mario,3.0,4.0,40.0,0.0,20.0,17.0,5.0,20.0,6.0,8.0,20.0,13.0,10.0,1.0,7.0,8.0,5.0,1.0,5.0,12.0,3.0,3.0,10.0,2.0,10.0,3.0,2.0,2.0,4.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Rare Beauty,6.0,7.0,39.0,20.0,0.0,11.0,2.0,18.0,3.0,9.0,17.0,18.0,15.0,3.0,11.0,11.0,3.0,2.0,2.0,8.0,4.0,3.0,11.0,7.0,6.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Hourglass,6.0,2.0,31.0,17.0,11.0,0.0,5.0,14.0,6.0,2.0,12.0,8.0,6.0,0.0,2.0,6.0,5.0,0.0,4.0,13.0,6.0,3.0,6.0,8.0,9.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Make Up For Ever,1.0,0.0,9.0,5.0,2.0,5.0,0.0,5.0,3.0,1.0,3.0,4.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dior Beauty,5.0,4.0,31.0,20.0,18.0,14.0,5.0,0.0,6.0,3.0,14.0,11.0,9.0,2.0,7.0,4.0,5.0,3.0,4.0,6.0,5.0,1.0,7.0,4.0,8.0,3.0,4.0,1.0,1.0,5.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Summer Fridays,2.0,0.0,9.0,6.0,3.0,6.0,3.0,6.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tarte,0.0,3.0,14.0,8.0,9.0,2.0,1.0,3.0,0.0,0.0,8.0,8.0,5.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
